Sun x,Sun y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
-74.69,-89.01,-42.26,-15.38,-74.21,39.46,175.01,-26.47
-58.10,-100.63,-22.49,-38.95,-82.21,17.47,176.84,-7.41
-39.74,-109.19,7.81,-44.29,-83.85,-5.86,176.61,11.73
-20.18,-114.43,34.45,-28.91,-78.98,-28.75,174.31,30.74
0.00,-116.20,44.98,0.00,-68.00,-49.40,169.97,49.38
20.18,-114.43,34.45,28.91,-51.75,-66.23,163.64,67.45
39.74,-109.19,7.81,44.29,-31.49,-77.93,155.40,84.73
58.10,-100.63,-22.49,38.95,-8.79,-83.59,145.34,101.02
74.69,-89.01,-42.26,15.38,14.60,-82.77,133.58,116.12
89.01,-74.69,-42.26,-15.38,36.85,-75.54,120.26,129.87
100.63,-58.10,-22.49,-38.95,56.24,-62.46,105.53,142.10
109.19,-39.74,7.81,-44.29,71.28,-44.54,89.57,152.66
114.43,-20.18,34.45,-28.91,80.79,-23.17,72.56,161.45
116.20,0.00,44.98,0.00,84.05,0.00,54.70,168.34
114.43,20.18,34.45,28.91,80.79,23.17,36.20,173.26
109.19,39.74,7.81,44.29,71.28,44.54,17.27,176.16
100.63,58.10,-22.49,38.95,56.24,62.46,-1.85,176.99
89.01,74.69,-42.26,15.38,36.85,75.54,-20.96,175.75
74.69,89.01,-42.26,-15.38,14.60,82.77,-39.82,172.46
58.10,100.63,-22.49,-38.95,-8.79,83.59,-58.21,167.15
39.74,109.19,7.81,-44.29,-31.49,77.93,-75.92,159.89
20.18,114.43,34.45,-28.91,-51.75,66.23,-92.75,150.76
0.00,116.20,44.98,0.00,-68.00,49.40,-108.48,139.86
-20.18,114.43,34.45,28.91,-78.98,28.75,-122.95,127.32
